Nomor #,Tanggal,Keterangan,Kode Barang,Nama Barang,Kuantitas,Catatan,Stok Akhir,Nama Departemen,Nama Proyek,No. Lambung,Tipe Penyesuaian,Biaya Satuan,Total Biaya,Nama Gudang
IA.BRCM.2024.10.02114,2024-10-15,"PEMAKAIAN ME072 SHIFT 1 PIT SAMBOJA

HM: 411.1",114471,PERSEDIAAN HSD/SOLAR,522,,-5749,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME072 - HITACHI ZX350 - BRCM,Pengurangan,10711.864657,5591593.350954,BBE
IA.BRCM.2024.10.02115,2024-10-15,"PEMAKAIAN MD041 SHIFT 1 PIT SAMBOJA

HM: 1026.3",114471,PERSEDIAAN HSD/SOLAR,242,,-5469,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MD041 - KOMATSU D85ESS - BRCM,Pengurangan,10711.864657,2592271.246994,BBE
IA.BRCM.2024.10.02116,2024-10-15,"PEMAKAIAN MD042 SHIFT 1 PIT SAMBOJA

HM: 1036.1",114471,PERSEDIAAN HSD/SOLAR,192,,-5419,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MD042 - KOMATSU D85ESS - BRCM,Pengurangan,10711.864657,2056678.014144,BBE
IA.BRCM.2024.10.02117,2024-10-15,"PEMAKAIAN MD043 SHIFT 1 PIT SAMBOJA

HM: 448.4",114471,PERSEDIAAN HSD/SOLAR,263,,-5490,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MD043 - KOMATSU D85ESS - BRCM,Pengurangan,10711.864657,2817220.404791,BBE
IA.BRCM.2024.10.02118,2024-10-15,"PEMAKAIAN MD045 SHIFT 1 PIT SAMBOJA

HM: 412.5",114471,PERSEDIAAN HSD/SOLAR,185,,-5412,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MD045 - KOMATSU D85ESS - BRCM,Pengurangan,10711.864657,1981694.961545,BBE
IA.BRCM.2024.10.02119,2024-10-15,"PEMAKAIAN MG019 SHIFT 1 PIT SAMBOJA

HM: 6971.9",114471,PERSEDIAAN HSD/SOLAR,267,,-5494,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MG019 - GD755-5 - BRCM,Pengurangan,10711.864657,2860067.863419,BBE
IA.BRCM.2024.10.02120,2024-10-15,"PEMAKAIAN MCP006 SHIFT 1 PIT SAMBOJA

HM: 1899",114471,PERSEDIAAN HSD/SOLAR,168,,-5395,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MCP006 - BRCM,Pengurangan,10711.864657,1799593.262376,BBE
IA.BRCM.2024.10.02121,2024-10-15,"PEMAKAIAN MFT007 SHIFT 1 PIT SAMBOJA

HM: 3707.4",114471,PERSEDIAAN HSD/SOLAR,247,,-5474,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MFT007 - BRCM,Pengurangan,10711.864657,2645830.570279,BBE
IA.BRCM.2024.10.02122,2024-10-15,"PEMAKAIAN MWL012 SHIFT 1 PIT SAMBOJA

HM: 3880.6",114471,PERSEDIAAN HSD/SOLAR,77,,-5304,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MWL012 - SEM 636D - BRCM,Pengurangan,10711.864657,824813.578589,BBE
IA.BRCM.2024.10.02123,2024-10-15,"PEMAKAIAN MDT011 SHIFT 1 PIT SAMBOJA

HM: 4364",114471,PERSEDIAAN HSD/SOLAR,112,,-5339,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT011 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1199728.841584,BBE
IA.BRCM.2024.10.02124,2024-10-15,"PEMAKAIAN MDT012 SHIFT 1 PIT SAMBOJA

HM: 9382",114471,PERSEDIAAN HSD/SOLAR,102,,-5329,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT012 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1092610.195014,BBE
IA.BRCM.2024.10.02125,2024-10-15,"PEMAKAIAN MDT015 SHIFT 1 PIT SAMBOJA

HM: 8807",114471,PERSEDIAAN HSD/SOLAR,160,,-5387,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT015 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1713898.34512,BBE
IA.BRCM.2024.10.02126,2024-10-15,"PEMAKAIAN MDT016 SHIFT 1 PIT SAMBOJA

HM: 6352",114471,PERSEDIAAN HSD/SOLAR,124,,-5351,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT016 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1328271.217468,BBE
IA.BRCM.2024.10.02127,2024-10-15,"PEMAKAIAN MDT019 SHIFT 1 PIT SAMBOJA

HM: 8044",114471,PERSEDIAAN HSD/SOLAR,167,,-5394,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT019 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1788881.397719,BBE
IA.BRCM.2024.10.02128,2024-10-15,"PEMAKAIAN MDT020 SHIFT 1 PIT SAMBOJA

HM: 7339",114471,PERSEDIAAN HSD/SOLAR,96,,-5323,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT020 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1028339.007072,BBE
IA.BRCM.2024.10.02129,2024-10-15,"PEMAKAIAN MDT022 SHIFT 1 PIT SAMBOJA

HM: 3536",114471,PERSEDIAAN HSD/SOLAR,118,,-5345,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT022 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1264000.029526,BBE
IA.BRCM.2024.10.02130,2024-10-15,"PEMAKAIAN MDT023 SHIFT 1 PIT SAMBOJA

HM: 7751",114471,PERSEDIAAN HSD/SOLAR,77,,-5304,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT023 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,824813.578589,BBE
IA.BRCM.2024.10.02131,2024-10-15,"PEMAKAIAN MDT025 SHIFT 1 PIT SAMBOJA

HM: 8277",114471,PERSEDIAAN HSD/SOLAR,111,,-5338,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT025 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1189016.976927,BBE
IA.BRCM.2024.10.02132,2024-10-15,"PEMAKAIAN MDT027 SHIFT 1 PIT SAMBOJA

HM: 8147",114471,PERSEDIAAN HSD/SOLAR,122,,-5349,BRCM_P_HE_FUEL,BRCM - SAMBOJA,MDT027 - MERCY 2528 AXOR - BRCM,Pengurangan,10711.864657,1306847.488154,BBE
